what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1401095223585
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1401095223585
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1401095223586
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1401095223586
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1401095223587
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1401095223587
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1401095223587
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1401095223588
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1401095223588
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1401095223590
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1401095223590
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1401095223591
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1401095223591
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1401095223592
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1401095223593
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1401095223594
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1401095223594
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1401095223595
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1401095223595
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1401095223597
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1401095223597
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1401095223597
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1401095223598
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1401095223598
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1401095223599
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1401095223599
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1401095223599
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1401095223600
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1401095223600
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1401095223600
os,sysinfo,,,"win32",1401095223603
arch,sysinfo,,,"x86",1401095223603
ws,sysinfo,,,"win32",1401095223603
locale,sysinfo,,,"en_US",1401095223603
processors,sysinfo,,,"2",1401095223603
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401095223603
java.runtime.version,sysinfo,,,"1.7.0_25-b16",1401095223603
java.specification.name,sysinfo,,,"Java Platform API Specification",1401095223603
java.specification.vendor,sysinfo,,,"Oracle Corporation",1401095223603
java.specification.version,sysinfo,,,"1.7",1401095223603
java.vendor,sysinfo,,,"Oracle Corporation",1401095223603
java.version,sysinfo,,,"1.7.0_25",1401095223603
java.vm.info,sysinfo,,,"mixed mode, sharing",1401095223603
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401095223603
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401095223603
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1401095223603
java.vm.specification.version,sysinfo,,,"1.7",1401095223603
java.vm.vendor,sysinfo,,,"Oracle Corporation",1401095223603
java.vm.version,sysinfo,,,"23.25-b01",1401095223603
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1401095225860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401095232944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401095248473
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1401095252926
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1401095252929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401095256213
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1401095276158
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1401095276355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401095276823
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401095277345
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401095277440
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1401095278037
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1401095298500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401095303217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401095310902
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401095310985
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401095311043
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1401095321001
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1401095321135
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1401095321136
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1401095321144
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1401095321145
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1401095321164
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1401095321166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401095325566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401095337687
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401095340296
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1401095342455
